fish_id,site_id,year,month,day,location,fish_num,species,length,height,Lep_cope,chalA,chalB,Lep_PAmale,Lep_PAfemale,Lep_male,Lep_nongravid,Lep_gravid,Caligus_cope,Caligus_mot,Caligus_gravid,unid_cope,chal_unid,unid_PA,unid_adult,chal_scar,pred_scar,mot_scar,hem,mateguarding,eroded_gill,blue_blotches,pinched_belly,scales,white_eye,Grazed_gill_plate,Lironca,comments,sum_all_lice,Prevalence,Motile Lep,Motile Caligus,chal,attached
1,1,2018,4,26,Buckle Bay,1,chum,44,5,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0,0,2,3
2,1,2018,4,26,Buckle Bay,2,chum,46,7,,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,2,1,0,0,2,2
3,1,2018,4,26,Buckle Bay,3,chum,49,6,,2,2,,,,,,,,,,,,,,,1,1,,,1,,,,,,,4,1,0,0,4,4
4,1,2018,4,26,Buckle Bay,4,chum,48,9,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0,0,3,3
5,1,2018,4,26,Buckle Bay,5,chum,50,10,,1,1,,,,,,,,,,,,,1,,,,,,1,,,,,,,2,1,0,0,2,2
6,1,2018,4,26,Buckle Bay,6,chum,53,8,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,1,0,0,1,2
7,1,2018,4,26,Buckle Bay,7,chum,50,8,,2,,,,,,,,,,,,,,1,,,,,,1,,,,,,,2,1,0,0,2,2
8,1,2018,4,26,Buckle Bay,8,chum,50,6,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,0
9,1,2018,4,26,Buckle Bay,9,chum,47,7,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,2,1,0,0,2,2
10,1,2018,4,26,Buckle Bay,10,chum,42,6,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,GG,3,1,0,0,2,3
11,1,2018,4,26,Buckle Bay,11,chum,60,11,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,3,1,0,1,2,2
12,1,2018,4,26,Buckle Bay,12,chum,42,5,,2,6,,,,,,,,,,,,,4,,,,,,1,,,,,,GG,8,1,0,0,8,8
13,1,2018,4,26,Buckle Bay,13,chum,43,7,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0,0,3,3
14,1,2018,4,26,Buckle Bay,14,chum,46,8,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,1,1
15,1,2018,4,26,Buckle Bay,15,chum,52,9,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,0,2,2
16,1,2018,4,26,Buckle Bay,16,chum,49,8,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,1,0,1,0,1
17,1,2018,4,26,Buckle Bay,17,chum,49,7,,7,6,,,,,,,,,,,,,9,,,,,,1,,,,,,,13,1,0,0,13,13
18,1,2018,4,26,Buckle Bay,18,chum,50,8,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0
19,1,2018,4,26,Buckle Bay,19,chum,42,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,1
20,1,2018,4,26,Buckle Bay,20,chum,52,9,1,1,,,1,,,,,,,,,,,,,,,,,1,,,,,,,3,1,1,0,1,2
21,1,2018,4,26,Buckle Bay,21,chum,46,6,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,"FL, CF",1,1,0,0,1,1
22,1,2018,4,26,Buckle Bay,22,chum,66,10,,1,,1,,,,,,,,,,,,1,,,,,,,,,,,,,2,1,1,0,1,1
23,1,2018,4,26,Buckle Bay,23,chum,51,8,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,1,0,0,1,1
24,1,2018,4,26,Buckle Bay,24,chum,48,7,2,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,4,1,0,0,2,4
25,1,2018,4,26,Buckle Bay,25,chum,47,7,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,0,2,2
26,1,2018,4,26,Buckle Bay,26,chum,47,7,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,0,0,0,1
27,1,2018,4,26,Buckle Bay,27,chum,46,9,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,0,1,2
28,1,2018,4,26,Buckle Bay,28,chum,48,8,2,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,Bird,3,1,0,0,1,3
29,1,2018,4,26,Buckle Bay,29,chum,47,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
30,1,2018,4,26,Buckle Bay,30,chum,43,6,,11,,,,,,,,,,,,,,1,,,,,,,,,,,,,11,1,0,0,11,11
31,1,2018,4,26,Buckle Bay,31,chum,53,9,,2,2,,,,,,,,,,,,,2,,,,,,,,,,,,,4,1,0,0,4,4
32,1,2018,4,26,Buckle Bay,32,chum,46,6,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,0,0,0,0,0
33,1,2018,4,26,Buckle Bay,33,chum,46,7,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,0,0,1
34,1,2018,4,26,Buckle Bay,34,chum,46,7,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,Hem eye,1,1,0,1,0,0
35,1,2018,4,26,Buckle Bay,35,chum,52,9,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,0,2,2
36,1,2018,4,26,Buckle Bay,36,chum,47,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,0,0,2
37,1,2018,4,26,Buckle Bay,37,chum,45,7,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,0
38,1,2018,4,26,Buckle Bay,38,chum,46,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
39,1,2018,4,26,Buckle Bay,39,chum,52,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
40,1,2018,4,26,Buckle Bay,40,chum,45,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0,0,0,3
41,1,2018,4,26,Buckle Bay,41,chum,38,6,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,0,1,2
42,1,2018,4,26,Buckle Bay,42,chum,38,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,1
43,1,2018,4,26,Buckle Bay,43,chum,40,8,3,,,,,,,,,,,,,,,,,,,,,1,,,,,,,3,1,0,0,0,3
44,1,2018,4,26,Buckle Bay,44,chum,52,6,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,0,0,1,1
45,1,2018,4,26,Buckle Bay,45,chum,44,8,,2,,,,,,,,,,,,,,,,,,,,,,,,,,GG,2,1,0,0,2,2
46,1,2018,4,26,Buckle Bay,46,chum,44,5,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0,0,2,3
47,1,2018,4,26,Buckle Bay,47,chum,54,7,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,1,0,0,2,2
48,2,2018,5,16,Buckle Bay,1,chum,60,11,,3,,1,,,,,,,,,,,,1,,,1,,1,1,,,,,,CS,4,1,1,0,3,3
49,2,2018,5,16,Buckle Bay,2,chum,45,7,,2,,,,,,,,,,,,,,,,1,1,,,1,,,,,,LJ,2,1,0,0,2,2
50,2,2018,5,16,Buckle Bay,3,chum,72,10,,1,3,,,1,,,,,,,,,,2,,1,,,,1,,1,,,,,5,1,1,0,4,4
51,2,2018,5,16,Buckle Bay,4,chum,54,8,5,4,1,3,1,,1,,,,,,,,,,,1,1,,1,,,1,,,,,15,1,5,0,5,10
52,2,2018,5,16,Buckle Bay,5,chum,50,9,2,5,1,,,,,,,,,,,,,2,,,,,,,,,,,,,8,1,0,0,6,8
53,2,2018,5,16,Buckle Bay,6,chum,56,9,11,2,3,,,,,,,,,,,,,1,,,,,,,,1,,,,,16,1,0,0,5,16
54,2,2018,5,16,Buckle Bay,7,chum,60,8,5,19,3,1,1,,,,,,,,,,,3,,1,,,1,,,1,,,,,29,1,2,0,22,27
55,2,2018,5,16,Buckle Bay,8,chum,58,10,2,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,2,1,0,0,0,2
56,2,2018,5,16,Buckle Bay,9,chum,62,10,,1,1,,,,,,,,,,,,,1,,,,,,1,,1,,,,,2,1,0,0,2,2
57,2,2018,5,16,Buckle Bay,10,chum,60,10,,,1,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,1,0,0,1,1
58,2,2018,5,16,Buckle Bay,11,chum,52,8,3,,1,,,,,,,,,,,,,1,,,,,,1,,1,,,,,4,1,0,0,1,4
59,2,2018,5,16,Buckle Bay,12,chum,56,10,4,7,3,2,1,,,,,,,,,,,,,1,,,,1,,1,,,,,17,1,3,0,10,14
60,2,2018,5,16,Buckle Bay,13,chum,66,10,1,3,1,1,1,,,,,,,,,,,2,,,,,,,,1,,,,,7,1,2,0,4,5
61,2,2018,5,16,Buckle Bay,14,chum,62,11,15,11,5,4,8,1,,,,,,,,,,1,,1,1,,,1,,1,,,,CS,44,1,13,0,16,31
62,2,2018,5,16,Buckle Bay,15,chum,60,10,20,6,5,6,,1,,,,,,,,,,6,,1,,,1,1,,,,,,gill parasite ,38,1,7,0,11,31
63,2,2018,5,16,Buckle Bay,16,chum,54,10,20,3,2,1,,1,,,,,,,,,,2,,,1,,1,1,,1,,,,CS,27,1,2,0,5,25
64,3,2018,5,16,Elbow Bank,1,coho,140,32,1,7,2,3,1,,,,,,,,,,,1,,,,,,,,,,,,,14,1,4,0,9,10
65,3,2018,5,16,Elbow Bank,2,coho,108,19,5,,,,1,,,,,1,,,,,,,,,,,,1,,1,,,,,7,1,1,1,0,5
66,3,2018,5,16,Elbow Bank,3,chum,58,11,4,5,,1,1,,,,,,,,,,,4,,,,,1,,,1,,,,,11,1,2,0,5,9
67,3,2018,5,16,Elbow Bank,4,chum,68,10,1,3,1,1,,,,,,,,,,,,3,,,,,1,1,,1,,,,,6,1,1,0,4,5
68,3,2018,5,16,Elbow Bank,5,chum,68,12,1,1,4,2,,,,,,,,,,,,2,1,,1,,1,,,1,,,,"Bird, CS",8,1,2,0,5,6
69,3,2018,5,16,Elbow Bank,6,chum,74,12,1,2,3,2,1,,,,,,,,,,,6,,1,,,,1,,1,,,,,9,1,3,0,5,6
70,3,2018,5,16,Elbow Bank,7,chum,72,11,,1,1,,,,,,,,,,,,,1,,,,,,,,1,,,,,2,1,0,0,2,2
71,3,2018,5,16,Elbow Bank,8,chum,62,11,2,3,3,1,,,,,,,,,,,,4,,,,,,,,1,,,,,9,1,1,0,6,8
72,3,2018,5,16,Elbow Bank,9,chum,62,9,1,3,4,1,1,,,,,,,,,,,4,,,,,,1,,1,,,,,10,1,2,0,7,8
73,3,2018,5,16,Elbow Bank,10,chum,68,12,2,3,,,,,,,,1,,,,,,3,,,,,,1,,1,,,,,6,1,0,1,3,5
74,3,2018,5,16,Elbow Bank,11,chum,64,12,,1,,,1,,,,,,,,,,,2,,,1,,,1,,1,,,,CS,2,1,1,0,1,1
75,3,2018,5,16,Elbow Bank,12,chum,68,13,6,7,6,3,2,,,,,,,,,,,4,,1,,,1,,,1,,,,,24,1,5,0,13,19
76,3,2018,5,16,Elbow Bank,13,chum,61,11,1,2,2,,,,,,,,,,,,,2,,,,,,,,,,,,,5,1,0,0,4,5
77,3,2018,5,16,Elbow Bank,14,chum,64,12,7,4,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,15,1,3,0,5,12
78,3,2018,5,16,Elbow Bank,15,chum,68,12,7,7,,,,,,,,1,,,,,,5,,,1,,1,1,,1,,,,CSx2,15,1,0,1,7,14
79,3,2018,5,16,Elbow Bank,16,chum,58,10,1,5,1,1,,,,,,1,,,,,,3,,,,,,,,,,,,,9,1,1,1,6,7
80,3,2018,5,16,Elbow Bank,17,chum,64,9,2,1,2,2,,,,,,,,,,,,2,,,,,,,,,,,,,7,1,2,0,3,5
81,3,2018,5,16,Elbow Bank,18,chum,67,10,2,3,3,3,3,,,,,,,,,,,7,,1,,,1,1,,1,,,,,14,1,6,0,6,8
82,3,2018,5,16,Elbow Bank,19,chum,68,11,1,1,,1,1,,,,,,,,,,,2,,,,,,1,,,,,,,4,1,2,0,1,2
83,3,2018,5,16,Elbow Bank,20,chum,58,8,6,10,,1,,,1,,,,,,,,,3,,1,,,,,,1,,,,,18,1,2,0,10,16
84,3,2018,5,16,Elbow Bank,21,chum,58,10,1,3,3,3,1,,,,,,,,,,,4,,,1,,,,,,,,,CS,11,1,4,0,6,7
85,3,2018,5,16,Elbow Bank,22,chum,67,11,,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,5,1,1,0,4,4
86,3,2018,5,16,Elbow Bank,23,chum,71,12,2,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,2,1,0,0,0,2
87,3,2018,5,16,Elbow Bank,24,chum,67,11,1,7,2,2,,,,,,1,,,,,,,,,,,1,,,1,,,,,13,1,2,1,9,10
88,3,2018,5,16,Elbow Bank,25,chum,60,9,3,8,1,1,1,,,,,,,,,,,,1,,,,,,,,,,,Fish,14,1,2,0,9,12
89,3,2018,5,16,Elbow Bank,26,pink,54,9,6,5,3,1,,,,,,,,,,,,4,,,,,,1,,,,,,,15,1,1,0,8,14
90,3,2018,5,16,Elbow Bank,27,chum,68,11,3,4,1,1,,,,,,,,,,,,1,,,,,,1,,1,,,,,9,1,1,0,5,8
91,3,2018,5,16,Elbow Bank,28,pink,68,12,,3,1,,1,1,1,,1,,,,,,,4,,,1,,,,,,,,,CS,8,1,3,0,4,4
92,3,2018,5,16,Elbow Bank,29,chum,68,12,,1,1,,1,,,,,,,,,,,,,,,,2,,,1,,,,,3,1,1,0,2,2
93,3,2018,5,16,Elbow Bank,30,chum,69,10,3,6,,1,,,,,,,1,,,,,4,,,,,,1,,1,,,,,11,1,1,1,6,9
94,3,2018,5,16,Elbow Bank,31,pink,67,11,2,4,1,1,,,1,,2,,,,,,,1,,,,,,1,,1,,,,,11,1,2,0,5,7
95,3,2018,5,16,Elbow Bank,32,chum,58,10,2,5,,1,,,,,,,,,,,,2,,,,,,1,,,,,,,8,1,1,0,5,7
96,3,2018,5,16,Elbow Bank,33,chum,70,13,1,1,1,1,,,,,,,,,,,,1,,,,,,,,1,,,,,4,1,1,0,2,3
97,3,2018,5,16,Elbow Bank,34,chum,59,9,3,2,3,2,,,,,,1,,,,,,,,,,,,,,,,,,,11,1,2,1,5,8
98,3,2018,5,16,Elbow Bank,35,chum,67,12,2,2,1,1,2,,,,,,,,,,,3,,,,,,1,,,,,,,8,1,3,0,3,5
99,3,2018,5,16,Elbow Bank,36,chum,64,10,14,4,3,2,1,,1,,,,,,,,,1,,,,,,1,,1,,,,,25,1,4,0,7,21
100,3,2018,5,16,Elbow Bank,37,chum,70,11,,8,1,,1,,,,1,,,,,,,2,,,,,,1,,1,,,,,11,1,1,0,9,9
101,3,2018,5,16,Elbow Bank,38,chum,59,10,2,3,,,,,,,2,,,,,,,,,,,,,1,,,,,,,7,1,0,0,3,5
102,3,2018,5,16,Elbow Bank,39,chum,62,10,3,7,4,,1,,,,,,,,,,,,,1,,,,1,,,,,,,15,1,1,0,11,14
103,3,2018,5,16,Elbow Bank,40,chum,69,12,,3,2,,,,,,,,,,,,,1,,,,,,1,,1,,,,,5,1,0,0,5,5
104,3,2018,5,16,Elbow Bank,41,chum,64,10,3,5,1,,,,,,,,,,,,,2,,,,,,,,,,,,,9,1,0,0,6,9
105,3,2018,5,16,Elbow Bank,42,chum,67,9,3,9,5,2,,,,,,,,,,,,2,,,,,1,,,1,,,,,19,1,2,0,14,17
106,3,2018,5,16,Elbow Bank,43,chum,63,9,8,10,2,5,2,,,,,,,,,,,,,,,,1,,,,,,,,27,1,7,0,12,20
107,3,2018,5,16,Elbow Bank,44,chum,60,10,1,4,2,,,,,,,,,,,,,2,,1,,,1,1,,1,,,,,7,1,0,0,6,7
108,3,2018,5,16,Elbow Bank,45,chum,67,12,4,3,1,11,,,,,,,,,,,,1,,,,,1,,,,,,,,19,1,11,0,4,8
109,3,2018,5,16,Elbow Bank,46,chum,66,11,1,3,6,,,,,,,,,,,,,2,,,,,,,,1,,,,,10,1,0,0,9,10
110,3,2018,5,16,Elbow Bank,47,chum,64,11,1,2,1,,,,,,,,,,,,,2,,,,,,1,,,,,,,4,1,0,0,3,4
111,3,2018,5,16,Elbow Bank,48,chum,63,11,1,7,1,,,,,,,,,,,,,,,,,,,,,1,,,,,9,1,0,0,8,9
112,3,2018,5,16,Elbow Bank,49,chum,65,11,3,6,3,3,,,,,,,,,,,,3,,,,,,1,,1,,,,,15,1,3,0,9,12
113,3,2018,5,16,Elbow Bank,50,chum,66,10,4,4,,3,,,,,,,,,,,,3,,,,,,1,,1,,,,,11,1,3,0,4,8
114,3,2018,5,16,Elbow Bank,51,chum,57,9,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,0,0,2,5
115,3,2018,5,16,Elbow Bank,52,chum,66,10,,3,2,,1,,,,,,,,,,,1,,,,,,,,1,,,,,6,1,1,0,5,5
116,3,2018,5,16,Elbow Bank,53,chum,67,11,1,3,3,2,1,,,,,2,,,,,,3,,1,,,,1,,1,,,,,12,1,3,2,6,7
117,4,2018,5,16,Cypre River,1,coho,88,16,1,1,,,,,,,,2,,,,,,1,,,1,,,,,1,,,,CS,4,1,0,2,1,2
118,4,2018,5,16,Cypre River,2,coho,88,14,2,2,,,,,,,,,,,,,,1,,,,,,,,1,,,,gill lice,4,1,0,0,2,4
119,4,2018,5,16,Cypre River,3,coho,92,18,2,3,,,,,,,,,,,,,,1,,,,,,,,1,,,,,5,1,0,0,3,5
120,4,2018,5,16,Cypre River,4,coho,75,10,4,4,,,,,,,,,,,,,,1,,,,,,,,1,,,,,8,1,0,0,4,8
121,4,2018,5,16,Cypre River,5,coho,90,16,1,4,,1,,,,,,,,,,,,,,,,,,,,1,,,,,6,1,1,0,4,5
122,4,2018,5,16,Cypre River,6,chinook,78,14,3,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,1,0,0,0,3
123,4,2018,5,16,Cypre River,7,coho,80,18,,,1,,,,,,,1,,,,,,,,,1,,,,,1,,,,CS,2,1,0,1,1,1
124,4,2018,5,16,Cypre River,8,coho,80,15,3,6,,,,,,,,,,,,,,4,,,,,,1,,1,,,,split CF,9,1,0,0,6,9
125,5,2018,5,10,Elbow Bank,1,chum,54,10,3,3,1,,,,,,,,,,,,,2,,,,,1,,,1,,,,,7,1,0,0,4,7
126,5,2018,5,10,Elbow Bank,2,chum,53,9,2,3,3,,,,,,1,1,,,,,,6,,,,,,,,1,,,,,10,1,0,1,6,8
127,5,2018,5,10,Elbow Bank,3,chum,49,8,2,,3,,,,,,,,,,,,,3,,,1,,,,,,,,,CS,5,1,0,0,3,5
128,5,2018,5,10,Elbow Bank,4,chum,52,10,,,3,1,1,,,,,,,,,,,2,,1,1,,1,,,1,,,,ANF,5,1,2,0,3,3
129,5,2018,5,10,Elbow Bank,5,chum,58,9,12,4,,,5,,,,,1,,,,,,9,,1,1,,,1,,1,,,,"CS, CS",22,1,5,1,4,16
130,5,2018,5,10,Elbow Bank,6,chum,56,8,2,,1,1,2,,,,,,,,,,,9,,,,,,,,1,,,,,6,1,3,0,1,3
131,5,2018,5,10,Elbow Bank,7,chum,54,8,10,4,1,2,1,,,,,,,,,,,6,,1,1,,1,,,1,,,,CS,18,1,3,0,5,15
132,5,2018,5,10,Elbow Bank,8,chum,58,8,1,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,3,1,1,0,1,2
133,5,2018,5,10,Elbow Bank,9,chum,54,8,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,0,1,1
134,5,2018,5,10,Elbow Bank,10,chum,50,7,1,6,,2,1,,,,,,,,,,,3,,,1,,1,,,,,,,CS,10,1,3,0,6,7
135,5,2018,5,10,Elbow Bank,11,chum,54,7,1,,,,1,,,,,,,,,,,,,,1,,,1,,1,,,,FL,2,1,1,0,0,1
136,5,2018,5,10,Elbow Bank,12,chum,54,8,,1,1,,1,1,1,,,,,,,,,,,,1,1,,1,,1,,,,CS,5,1,3,0,2,2
137,5,2018,5,10,Elbow Bank,13,chum,56,9,4,1,5,1,1,,,,,,,,,,,6,,,,,1,,,,,,,,12,1,2,0,6,10
138,5,2018,5,10,Elbow Bank,14,chum,52,8,3,2,1,,1,,,,1,,,,,,,1,,,,,,1,,,,,,,8,1,1,0,3,6
139,5,2018,5,10,Elbow Bank,15,chum,48,7,1,5,,,,,,,,,,,,,,,,,,,,1,,,,,,,6,1,0,0,5,6
140,5,2018,5,10,Elbow Bank,16,chum,60,10,,3,1,1,,,,,,,,,,,,,,,,,1,1,,1,,,,WE,5,1,1,0,4,4
141,5,2018,5,10,Elbow Bank,17,chum,54,8,1,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,5,1,0,0,4,5
142,5,2018,5,10,Elbow Bank,18,chum,56,9,3,4,1,2,,,,,,1,,,,,,,,,,,2,,,,,,,,11,1,2,1,5,8
143,5,2018,5,10,Elbow Bank,19,chum,51,8,,5,,1,,,,,,1,,,,,,,1,,,,,1,,,,,,FH,7,1,1,1,5,5
144,5,2018,5,10,Elbow Bank,20,chum,54,8,,7,1,,,,,,,,,,,,,,,,,,1,1,,,,,,,8,1,0,0,8,8
145,5,2018,5,10,Elbow Bank,21,chum,56,10,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,0,0,0,1
146,5,2018,5,10,Elbow Bank,22,chum,50,8,3,3,,2,2,,,,,,,,,,,1,,1,1,,1,,,1,,,,CS,10,1,4,0,3,6
147,5,2018,5,10,Elbow Bank,23,chum,53,9,3,2,,,,,,,,,,,,,,1,,1,,,,1,,,,,,,5,1,0,0,2,5
148,5,2018,5,10,Elbow Bank,24,chum,49,8,,2,2,1,,,,,,,,,,,,1,,,1,,1,,,,,,,CS,5,1,1,0,4,4
149,5,2018,5,10,Elbow Bank,25,chum,52,9,,2,2,1,,,,,,,,,,,,2,,,,,,,,,,,,,5,1,1,0,4,4
150,5,2018,5,10,Elbow Bank,26,chum,48,8,1,2,1,,,,,,,,,,,,,2,,,,,,,,,,,,,4,1,0,0,3,4
151,7,2018,5,23,Cypre River,1,coho,96,14,2,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,2,1,0,0,0,2
152,7,2018,5,23,Cypre River,2,coho,128,27,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,3,1,3,0,0,0
153,7,2018,5,23,Cypre River,3,coho,98,18,3,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,,5,1,1,0,1,4
154,7,2018,5,23,Cypre River,4,coho,94,14,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,0,0,0,0,0,0
155,7,2018,5,23,Cypre River,5,coho,94,18,5,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,6,1,1,0,0,5
156,7,2018,5,23,Cypre River,6,coho,94,20,4,1,,2,1,,,,,,,,,,,,,,1,,,,,1,,,,eye,8,1,3,0,1,5
157,7,2018,5,23,Cypre River,7,coho,94,19,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,0,0,0,0,0,0
158,7,2018,5,23,Cypre River,8,coho,97,16,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,0,0,0,4
159,7,2018,5,23,Cypre River,9,coho,85,16,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,0,0,0,6
160,7,2018,5,23,Cypre River,10,coho,70,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
161,7,2018,5,23,Cypre River,11,coho,77,16,36,12,,,2,,,,,,,,,,,,,,,,,,,1,,,,,50,1,2,0,12,48
162,12,2018,6,9,Buckle Bay,1,coho,110,15,3,15,2,1,4,,1,,2,,,,,,,2,,,,,,,,1,,,,clouded eye,28,1,6,0,17,20
163,12,2018,6,9,Buckle Bay,2,coho,100,15,6,15,7,,1,,1,,,,,,,,,3,,,,,,,,,,,,,30,1,2,0,22,28
164,13,2018,6,23,Buckle Bay,1,chum,80,18,,2,,,,,,,1,,,,,,,,,1,,,,1,,1,,,,,3,1,0,0,2,2
165,13,2018,6,23,Buckle Bay,2,chum,100,19,,16,4,5,5,,,1,2,,,,,,,,,1,,,1,1,,1,,,,mate guarding,33,1,11,0,20,20
166,13,2018,6,23,Buckle Bay,3,chum,84,12,,1,,,,,,,5,2,,,,,,,,1,,,,1,,1,,,,,8,1,0,2,1,1
167,13,2018,6,23,Buckle Bay,4,chum,88,18,,2,1,,,,,,2,1,,,,,,,,,,,,,,1,,,,,6,1,0,1,3,3
168,13,2018,6,23,Buckle Bay,5,coho,96,14,1,10,,1,,,,,6,,,,,,,,,1,,,,,,1,,,,,18,1,1,0,10,11
169,13,2018,6,23,Buckle Bay,6,chum,73,17,1,4,,2,,,,,1,,,,,,,1,,1,,,,1,,1,,,,,8,1,2,0,4,5
170,13,2018,6,23,Buckle Bay,7,chum,86,14,,1,,,,,,,4,,,,,,,,,,,,1,,,1,,,,,5,1,0,0,1,1
171,13,2018,6,23,Buckle Bay,8,pink,78,11,,2,,,,,,,1,1,,,,,,,,1,,,,1,,1,,,,,4,1,0,1,2,2
172,13,2018,6,23,Buckle Bay,9,coho,118,19,7,22,5,3,,,,,7,,,,,,,,,,,,,1,,1,,,,,44,1,3,0,27,34
173,14,2019,3,1,Bedwell estuary,1,coho,94,n/a,,4,,,,,,,2,,,,,,,1,,,,,,,,,,,,,6,1,0,0,4,4
174,14,2019,3,1,Bedwell estuary,2,coho,102,n/a,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,1,0,0,0,0
175,15,2019,3,5,Bedwell estuary,1,chum,38,n/a,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,1,1,0,0,0,0
176,15,2019,3,5,Bedwell estuary,2,chum,46,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
177,15,2019,3,5,Bedwell estuary,3,chum,39,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
178,15,2019,3,5,Bedwell estuary,4,chinook,46,n/a,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0,0,3,3
179,15,2019,3,5,Bedwell estuary,5,chinook,45,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
180,16,2019,3,14,Tranquil estuary,1,chum,38,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
181,16,2019,3,14,Tranquil estuary,2,chum,41,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
182,16,2019,3,14,Tranquil estuary,3,chum,40,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
183,16,2019,3,14,Tranquil estuary,4,chum,34,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
184,16,2019,3,14,Tranquil estuary,5,chum,41,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
185,16,2019,3,14,Tranquil estuary,6,chum,41,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
186,16,2019,3,14,Tranquil estuary,7,chum,37,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
187,16,2019,3,14,Tranquil estuary,8,chum,41,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
188,16,2019,3,14,Tranquil estuary,9,chum,37,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
